"filename","sex","age"
"Braunwald/0diary/020800","female",32
"Braunwald/0diary/020801","female",32
"Braunwald/0diary/020802","female",32
"Braunwald/0diary/020803","female",32
"Braunwald/0diary/020804","female",32
"Braunwald/0diary/020805","female",32
"Braunwald/0diary/020806","female",32
"Braunwald/0diary/020807","female",32
"Braunwald/0diary/020808","female",32
"Braunwald/0diary/020809","female",32
"Braunwald/0diary/020810","female","None"
"Braunwald/0diary/020811","female",32
"Braunwald/0diary/020812","female",32
"Braunwald/0diary/020813","female",32
"Braunwald/0diary/020814","female",32
"Braunwald/0diary/020815","female",32
"Braunwald/0diary/020816","female",33
"Braunwald/0diary/020817","female",33
"Braunwald/0diary/020818","female",33
"Braunwald/0diary/020819","female",33
"Braunwald/0diary/020820","female",33
"Braunwald/0diary/020821","female",33
"Braunwald/0diary/020822","female",33
"Braunwald/0diary/020824","female",33
"Braunwald/0diary/020825","female",33
"Braunwald/0diary/020826","female",33
"Braunwald/0diary/020827","female",33
"Braunwald/0diary/020828","female",33
"Braunwald/0diary/020829","female",33
"Braunwald/0diary/020830","female",33
"Braunwald/0diary/020900","female",33
"Braunwald/0diary/020901","female",33
"Braunwald/0diary/020902","female",33
"Braunwald/0diary/020903","female",33
"Braunwald/0diary/020904","female",33
"Braunwald/0diary/020905","female",33
"Braunwald/0diary/020906","female",33
"Braunwald/0diary/020907","female",33
"Braunwald/0diary/020908","female",33
"Braunwald/0diary/020909","female",33
"Braunwald/0diary/020911","female",33
"Braunwald/0diary/020912","female",33
"Braunwald/0diary/020913","female",33
"Braunwald/0diary/020914","female",33
"Braunwald/0diary/020915","female",33
"Braunwald/0diary/020916","female",34
"Braunwald/0diary/020917","female",34
"Braunwald/0diary/020918","female",34
"Braunwald/0diary/020919","female",34
"Braunwald/0diary/020920","female",34
"Braunwald/0diary/020921","female",34
"Braunwald/0diary/020922","female",34
"Braunwald/0diary/020923","female",34
"Braunwald/0diary/020924","female",34
"Braunwald/0diary/020926","female",34
